CountryCode,ProvinceCode,ProvinceName,City,Lat,Lon
ZA,ZA,南アフリカ,プレトリア（ツワネ）,-25.7440354,28.1936545
SS,SS,南スーダン,ジュバ,4.8372943,31.6061523
MM,MM,ミャンマー,ネーピードー,19.7465201,96.1295371
MX,MX,メキシコ,メキシコシティ,19.431793,-99.1339996
MU,MU,モーリシャス,ポートルイス,-20.1642942,57.5044541
MR,MR,モーリタニア,ヌアクショット,18.085313,-15.972601
MZ,MZ,モザンビーク,マプト,-25.9681995,32.5737726
MC,MC,モナコ,モナコ,43.7308008,7.4237648
MV,MV,モルディブ,マレ,4.1714171,73.5088271
MD,MD,モルドバ,キシナウ,47.0227297,28.8346231
MA,MA,モロッコ,ラバト,33.9769906,-6.8247161
MN,MN,モンゴル,ウランバートル,47.9186873,106.9158415
ME,ME,モンテネグロ,ポドゴリツァ,42.4417374,19.261361
JO,JO,ヨルダン,アンマン,31.945327,35.9241825
LA,LA,ラオス,ビエンチャン,17.9688079,102.6198759
LV,LV,ラトビア,リガ,56.9478345,24.1064499
LT,LT,リトアニア,ビリニュス,54.6781767,25.2869324
LY,LY,リビア,トリポリ,32.8911679,13.1867723
LI,LI,リヒテンシュタイン,ファドーツ,47.1407908,9.5220312
LR,LR,リベリア,モンロビア,6.2954554,-10.7934825
RO,RO,ルーマニア,ブカレスト,44.4344622,26.0931862
LU,LU,ルクセンブルク,ルクセンブルク,49.6101729,6.1305292
RW,RW,ルワンダ,キガリ,-1.9483086,30.06036
LS,LS,レソト,マセル,-29.3120149,27.4863691
LB,LB,レバノン,ベイルート,33.879704,35.5021534
RU,RU,ロシア,モスクワ,55.7613895,37.6089367
